 * Serving Flask app "main" (lazy loading)
 * Environment: production
   WARNING: Do not use the development server in a production environment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://0.0.0.0:5000/ (Press CTRL+C to quit)
14.186.11.127 - - [16/Jul/2018 18:28:10] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:10] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:17] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:17] "GET /api/question/greeting HTTP/1.1" 200 -
14.169.109.93 - - [16/Jul/2018 18:28:17] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.169.109.93 - - [16/Jul/2018 18:28:18] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:19] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:20] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:21] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:22] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:23] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:23] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:24] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:25] "GET /api/question/greeting HTTP/1.1" 200 -
14.169.109.93 - - [16/Jul/2018 18:28:25] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.169.109.93 - - [16/Jul/2018 18:28:25] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:26] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:27] "GET /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:28] "OPTIONS /api/question/greeting HTTP/1.1" 200 -
14.186.11.127 - - [16/Jul/2018 18:28:28] "GET /api/question/greeting HTTP/1.1" 200 -
